task_id,submit_success,submit_http_status,submit_latency_ms,final_status,result_success,worker,queue_wait_ms,inference_ms,total_ms,num_detections,error,result_image_url
20260708_092228_838_69,True,202,38.90139999975872,done,True,obb_worker_1,1348,2.7256,1367,0,,/api/v1/result/20260708_092228_838_69/image
20260708_092228_668_49,True,202,40.88400000000547,done,True,obb_worker_1,1008,2.5197,1026,0,,/api/v1/result/20260708_092228_668_49/image
20260708_092228_948_81,True,202,48.77329999999347,done,True,obb_worker_1,1565,4.2301,1584,0,,/api/v1/result/20260708_092228_948_81/image
20260708_092228_718_55,True,202,38.698000000294996,done,True,obb_worker_1,1112,2.8576,1131,0,,/api/v1/result/20260708_092228_718_55/image
20260708_092228_775_62,True,202,47.918700000082026,done,True,obb_worker_1,1230,2.8814,1249,0,,/api/v1/result/20260708_092228_775_62/image
20260708_092228_822_67,True,202,33.813999999892985,done,True,obb_worker_1,1310,3.981,1330,0,,/api/v1/result/20260708_092228_822_67/image
20260708_092228_802_65,True,202,38.448499999958585,done,True,obb_worker_1,1279,3.2062,1299,0,,/api/v1/result/20260708_092228_802_65/image
20260708_092228_898_76,True,202,47.210700000050565,done,True,obb_worker_1,1478,3.5978,1501,0,,/api/v1/result/20260708_092228_898_76/image
20260708_092228_799_64,True,202,48.37829999996757,done,True,obb_worker_1,1257,4.3433,1279,0,,/api/v1/result/20260708_092228_799_64/image
20260708_092228_828_68,True,202,51.92450000004101,done,True,obb_worker_1,1333,3.0222,1353,0,,/api/v1/result/20260708_092228_828_68/image
20260708_092228_988_86,True,202,41.97149999981775,done,True,obb_worker_1,1664,4.6001,1684,0,,/api/v1/result/20260708_092228_988_86/image
20260708_092228_861_72,True,202,38.1414000003133,done,True,obb_worker_1,1397,3.1707,1417,0,,/api/v1/result/20260708_092228_861_72/image
20260708_092228_898_75,True,202,48.025999999936175,done,True,obb_worker_1,1448,4.7561,1472,0,,/api/v1/result/20260708_092228_898_75/image
20260708_092229_009_88,True,202,43.84600000003047,done,True,obb_worker_1,1693,3.2352,1709,0,,/api/v1/result/20260708_092229_009_88/image
20260708_092228_965_83,True,202,41.51529999990089,done,True,obb_worker_1,1599,4.353,1623,0,,/api/v1/result/20260708_092228_965_83/image
20260708_092228_923_78,True,202,49.36160000033851,done,True,obb_worker_1,1510,8.8851,1535,0,,/api/v1/result/20260708_092228_923_78/image
20260708_092228_998_87,True,202,50.3644999998869,done,True,obb_worker_1,1679,3.6165,1697,0,,/api/v1/result/20260708_092228_998_87/image
20260708_092229_065_95,True,202,41.37829999990572,done,True,obb_worker_1,1787,3.6777,1803,0,,/api/v1/result/20260708_092229_065_95/image
20260708_092229_033_91,True,202,42.01340000008713,done,True,obb_worker_1,1733,3.2162,1749,0,,/api/v1/result/20260708_092229_033_91/image
20260708_092229_014_89,True,202,41.82500000024447,done,True,obb_worker_1,1707,3.502,1724,0,,/api/v1/result/20260708_092229_014_89/image
20260708_092229_072_96,True,202,38.91879999991943,done,True,obb_worker_1,1802,3.4108,1818,0,,/api/v1/result/20260708_092229_072_96/image
20260708_092228_973_85,True,202,48.2891000001473,done,True,obb_worker_1,1650,4.7514,1675,0,,/api/v1/result/20260708_092228_973_85/image
20260708_092229_080_97,True,202,38.22619999982635,done,True,obb_worker_1,1815,3.769,1832,0,,/api/v1/result/20260708_092229_080_97/image
20260708_092229_056_94,True,202,39.513000000169995,done,True,obb_worker_1,1774,5.0975,1792,0,,/api/v1/result/20260708_092229_056_94/image
20260708_092229_024_90,True,202,48.55829999996786,done,True,obb_worker_1,1720,3.4628,1736,0,,/api/v1/result/20260708_092229_024_90/image
20260708_092229_088_98,True,202,41.896100000030856,done,True,obb_worker_1,1828,4.7632,1847,0,,/api/v1/result/20260708_092229_088_98/image
20260708_092229_039_92,True,202,41.07980000026146,done,True,obb_worker_1,1745,3.5672,1761,0,,/api/v1/result/20260708_092229_039_92/image
20260708_092229_047_93,True,202,37.08830000005037,done,True,obb_worker_1,1761,4.8212,1779,0,,/api/v1/result/20260708_092229_047_93/image
20260708_092229_110_100,True,202,44.176799999604555,done,True,obb_worker_1,1851,4.4761,1869,0,,/api/v1/result/20260708_092229_110_100/image
20260708_092229_095_99,True,202,38.78100000019913,done,True,obb_worker_1,1845,4.4269,1863,0,,/api/v1/result/20260708_092229_095_99/image
20260708_092229_111_101,True,202,39.2320999999356,done,True,obb_worker_1,1872,4.7374,1890,0,,/api/v1/result/20260708_092229_111_101/image
